gene,direction,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,correlation_p_value,correlation_padj,directional_correlation_strength,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,passes_correlation_threshold,selected_for_analysis
STAT6,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0702673374033067,0.99999999974885,0.515,-0.515,0.97072480422038,0.99999999974885,0.515,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LHFPL2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0702673374033067,0.99999999974885,0.559,-0.559,0.994087938939355,0.99999999974885,0.559,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
XRCC3,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0703550579136758,0.33020321685906,0.425,-0.425,0.0862809896236322,0.33020321685906,0.425,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RTL8A,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0703550579136758,0.289424689959942,0.406,-0.406,0.0723561724899855,0.289424689959942,0.406,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TANGO6,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0703985555148913,0.99999999974885,0.472,-0.472,0.908677351240165,0.99999999974885,0.472,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RAMAC,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.070462402013487,0.231274150225256,0.373,-0.373,0.0541094238262863,0.231274150225256,0.373,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CFAP20,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.070462402013487,0.33008633541337,0.424,-0.424,0.0860508088231711,0.33008633541337,0.424,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DSN1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0706078432578249,0.616334966690358,0.521,-0.521,0.205832620951308,0.616334966690358,0.521,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CENPF,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0707639038138023,0.386515352404008,0.45,-0.45,0.108888415789421,0.386515352404008,0.45,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
C2CD2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0707639038138023,0.99999999974885,0.417,-0.417,0.749820217900913,0.99999999974885,0.417,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CTTNBP2NL,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0715721231947462,0.99999999974885,0.402,-0.402,0.697028783343752,0.99999999974885,0.402,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRIO,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0718146018654654,0.99999999974885,0.46,-0.46,0.884047657375196,0.99999999974885,0.46,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NDUFS7,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0719501562040356,0.361416138400684,0.437,-0.437,0.0983097357599345,0.361416138400684,0.437,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SLC22A3,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0720112828743339,0.99999999974885,0.493,-0.493,0.946713406270281,0.99999999974885,0.493,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ELOF1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0721763065975101,0.304297006837452,0.41,-0.41,0.077796687597122,0.304297006837452,0.41,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PPARG,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0721763065975101,0.99999999974885,0.496,-0.496,0.951814731515434,0.99999999974885,0.496,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
THAP8,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.072201553032942,0.240274346567581,0.375,-0.375,0.056744035934671,0.240274346567581,0.375,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MSL2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.072201553032942,0.99999999974885,0.476,-0.476,0.918891911583261,0.99999999974885,0.476,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CNIH2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0727363182385474,0.340015151350063,0.426,-0.426,0.0904230330271356,0.340015151350063,0.426,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DOHH,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0730457093865002,0.398371416760038,0.451,-0.451,0.113999367689193,0.398371416760038,0.451,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ROBO1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0730568825663814,0.99999999974885,0.526,-0.526,0.98095756071738,0.99999999974885,0.526,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TNIP3,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0730568825663814,0.99999999974885,0.479,-0.479,0.925767146093079,0.99999999974885,0.479,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
KYNU,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0730568825663814,0.99999999974885,0.467,-0.467,0.901995871959557,0.99999999974885,0.467,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CD24,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0730568825663814,0.386805117692811,0.446,-0.446,0.10971642017576,0.386805117692811,0.446,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TPCN1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0731272606217394,0.99999999974885,0.567,-0.567,0.996448918832725,0.99999999974885,0.567,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TSPAN14,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0732753141275735,0.99999999974885,0.43,-0.43,0.803740153491063,0.99999999974885,0.43,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TMUB1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0737877891316381,0.418768519796474,0.457,-0.457,0.122074974167085,0.418768519796474,0.457,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SNX18,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0742102069370427,0.99999999974885,0.418,-0.418,0.766870012927061,0.99999999974885,0.418,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NAP1L3,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0742102069370427,0.99999999974885,0.49,-0.49,0.945868673469817,0.99999999974885,0.49,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ETS1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.075166789858808,0.99999999974885,0.442,-0.442,0.84403088918418,0.99999999974885,0.442,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
WDR7,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0753041734206983,0.99999999974885,0.476,-0.476,0.924514691578524,0.99999999974885,0.476,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MRPS11,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0753711932701489,0.468070960143237,0.472,-0.472,0.142629169930439,0.468070960143237,0.472,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ZNHIT1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.075571241599148,0.364281527958929,0.431,-0.431,0.0993182656416325,0.364281527958929,0.431,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SYNJ2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.075571241599148,0.99999999974885,0.416,-0.416,0.76105208083516,0.99999999974885,0.416,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NNMT,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0756735987838458,0.99999999974885,0.44,-0.44,0.840887588898863,0.99999999974885,0.44,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SLC15A4,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0760223287961523,0.99999999974885,0.464,-0.464,0.90197998529774,0.99999999974885,0.464,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BBX,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0765999078704529,0.99999999974885,0.415,-0.415,0.763267291889003,0.99999999974885,0.415,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SNRPD3,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0767137785590263,0.411009177471133,0.45,-0.45,0.119296060001841,0.411009177471133,0.45,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CDK2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0769655985142342,0.280002907485311,0.389,-0.389,0.0693843682699449,0.280002907485311,0.389,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NIBAN1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0769655985142342,0.99999999974885,0.562,-0.562,0.996051342979765,0.99999999974885,0.562,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
GPX8,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0769655985142342,0.99999999974885,0.402,-0.402,0.714282273127573,0.99999999974885,0.402,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ALDH7A1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0771847813164429,0.384448698586682,0.438,-0.438,0.107959964728902,0.384448698586682,0.438,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HIPK3,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0776671845486832,0.99999999974885,0.495,-0.495,0.955927819206406,0.99999999974885,0.495,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TMEM131,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0781121114107868,0.99999999974885,0.495,-0.495,0.955581947784108,0.99999999974885,0.495,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ITSN2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0785495142031875,0.99999999974885,0.513,-0.513,0.974541486169333,0.99999999974885,0.513,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
GLG1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0785495142031875,0.99999999974885,0.49,-0.49,0.950599261520053,0.99999999974885,0.49,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NLGN4X,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0785611472499777,0.99999999974885,0.405,-0.405,0.729990165750229,0.99999999974885,0.405,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SWT1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0786101978187059,0.99999999974885,0.402,-0.402,0.722310650822986,0.99999999974885,0.402,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NFIB,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0786101978187059,0.99999999974885,0.436,-0.436,0.835788581123678,0.99999999974885,0.436,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HDGF,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0786101978187059,0.386805117692811,0.437,-0.437,0.109607118426557,0.386805117692811,0.437,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
IDH3B,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0787361093314568,0.442190890041321,0.457,-0.457,0.131683890839349,0.442190890041321,0.457,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FAT4,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0787361093314568,0.99999999974885,0.527,-0.527,0.98411772281858,0.99999999974885,0.527,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ERAL1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0787361093314568,0.742376855100916,0.536,-0.536,0.261466062173908,0.742376855100916,0.536,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MAZ,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0787361093314568,0.321665218356776,0.405,-0.405,0.083147424367695,0.321665218356776,0.405,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DYNLT2B,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0787616229929754,0.360216255992065,0.423,-0.423,0.0976435259953335,0.360216255992065,0.423,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PTPN14,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.078972399535717,0.99999999974885,0.463,-0.463,0.90568064280055,0.99999999974885,0.463,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FBXO11,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0790272218657152,0.99999999974885,0.492,-0.492,0.95304057514457,0.99999999974885,0.492,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FANCI,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0791056419070532,0.33020321685906,0.409,-0.409,0.0863927913291629,0.33020321685906,0.409,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DPY19L3,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0791056419070532,0.99999999974885,0.469,-0.469,0.917304803366467,0.99999999974885,0.469,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MXRA8,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0791056419070532,0.99999999974885,0.446,-0.446,0.86545090414038,0.99999999974885,0.446,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
GTF2IRD1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0792952116355051,0.281539390436522,0.384,-0.384,0.0698536412120805,0.281539390436522,0.384,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
COLEC12,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0793345270701558,0.99999999974885,0.443,-0.443,0.857092949713146,0.99999999974885,0.443,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SMCHD1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0793579215291032,0.99999999974885,0.392,-0.392,0.687416502065593,0.99999999974885,0.392,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NABP2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0795646910238093,0.374600143365646,0.428,-0.428,0.103780731542495,0.374600143365646,0.428,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HAUS1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0796052170307408,0.404648113882611,0.441,-0.441,0.116559016451721,0.404648113882611,0.441,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MORN2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0798068691976824,0.27064729736713,0.377,-0.377,0.0663851861466545,0.27064729736713,0.377,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PTS,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0799216490123814,0.403838871162534,0.44,-0.44,0.116198920476012,0.403838871162534,0.44,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SPDYC,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0808286693927783,0.250853673767659,0.364,-0.364,0.0603468743497669,0.250853673767659,0.364,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RBFOX2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0808286693927783,0.99999999974885,0.448,-0.448,0.874838047265727,0.99999999974885,0.448,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MXD3,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0812885318483964,0.99999999974885,0.622,-0.622,0.548355196702429,0.99999999974885,0.622,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CCBE1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0813293575209405,0.99999999974885,0.477,-0.477,0.934308803737632,0.99999999974885,0.477,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CHIC1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0813293575209405,0.99999999974885,0.54,-0.54,0.991308804460196,0.99999999974885,0.54,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CLDN9,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.081353018061048,0.502892673410651,0.472,-0.472,0.156244641927586,0.502892673410651,0.472,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TRBV7-3,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.08147910913434,0.99999999974885,0.553,-0.553,0.99495958838865,0.99999999974885,0.553,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TIMELESS,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.08147910913434,0.99999999974885,0.621,-0.621,0.544843836445085,0.99999999974885,0.621,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
EGFR,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.081566745819829,0.99999999974885,0.474,-0.474,0.930884013546527,0.99999999974885,0.474,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
EMC9,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0817400128147018,0.396310041128604,0.434,-0.434,0.113160225580117,0.396310041128604,0.434,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SLC16A7,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0817400128147018,0.99999999974885,0.566,-0.566,0.997337946924729,0.99999999974885,0.566,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NR2E1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0818281782769903,0.584431228054661,0.495,-0.495,0.192421225085921,0.584431228054661,0.495,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PPP1R8,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.082007086910815,0.360903323654058,0.417,-0.417,0.0979432604759282,0.360903323654058,0.417,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CLASP1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.082007086910815,0.99999999974885,0.439,-0.439,0.85467936250629,0.99999999974885,0.439,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FNBP1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0820809522878114,0.99999999974885,0.574,-0.574,0.99822300698229,0.99999999974885,0.574,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ACTA1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0820809522878114,0.344821507373847,0.41,-0.41,0.0922777052752025,0.344821507373847,0.41,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PPCS,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.08218981081733,0.645695894896864,0.509,-0.509,0.217668553248251,0.645695894896864,0.509,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CWC15,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0823906486637207,0.29166094580318,0.383,-0.383,0.073098671007904,0.29166094580318,0.383,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NUDT8,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0826269907448594,0.51378919581703,0.474,-0.474,0.162053636290717,0.51378919581703,0.474,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
WRAP53,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0839986659761604,0.248971596013678,0.357,-0.357,0.059815342995666,0.248971596013678,0.357,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
EIF2AK3,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0840808200213745,0.99999999974885,0.409,-0.409,0.763478483528727,0.99999999974885,0.409,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LANCL2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0840808200213745,0.361209013750325,0.414,-0.414,0.0981398075095224,0.361209013750325,0.414,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
INAVA,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0840808200213745,0.291069018169515,0.38,-0.38,0.0728587856801679,0.291069018169515,0.38,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
GGT6,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0841464512300846,0.254442602509483,0.36,-0.36,0.0618503558930284,0.254442602509483,0.36,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SEC24A,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0841464512300846,0.99999999974885,0.422,-0.422,0.808188680215096,0.99999999974885,0.422,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NPC1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0841877172706065,0.99999999974885,0.457,-0.457,0.901638709019028,0.99999999974885,0.457,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TSACC,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0845328073938886,0.28247975922411,0.375,-0.375,0.0702646193541733,0.28247975922411,0.375,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PTPRM,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0849639612355873,0.99999999974885,0.533,-0.533,0.989547181687895,0.99999999974885,0.533,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ARHGEF3,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0850513207477074,0.99999999974885,0.432,-0.432,0.839649510527639,0.99999999974885,0.432,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RASA3,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0850873951768226,0.99999999974885,0.469,-0.469,0.925543893693109,0.99999999974885,0.469,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SGPP1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0853828882814148,0.99999999974885,0.509,-0.509,0.975861352401715,0.99999999974885,0.509,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SFRP1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0858642349570362,0.99999999974885,0.398,-0.398,0.731354389026828,0.99999999974885,0.398,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CUEDC2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0860055268064387,0.33008633541337,0.396,-0.396,0.0859610554804364,0.33008633541337,0.396,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TEX30,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0860478835848063,0.292958083440427,0.378,-0.378,0.0738843971444096,0.292958083440427,0.378,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PIN4,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0860551018637253,0.379090600235151,0.419,-0.419,0.10574005107188,0.379090600235151,0.419,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RALGAPA2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0863349647781038,0.99999999974885,0.443,-0.443,0.872191765322411,0.99999999974885,0.443,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MKI67,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0866058872676175,0.343396401825647,0.402,-0.402,0.0917883463999371,0.343396401825647,0.402,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SRP14,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0866720532661285,0.49357489204307903,0.46,-0.46,0.151487136677373,0.49357489204307903,0.46,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
MINAR1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0869539545667697,0.99999999974885,0.498,-0.498,0.96752475349218,0.99999999974885,0.498,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SLC3A2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.087020404865368,0.708396036344698,0.516,-0.516,0.245042654081499,0.708396036344698,0.516,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TPK1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0872552389203388,0.99999999974885,0.591,-0.591,0.999462767754131,0.99999999974885,0.591,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SLC2A3,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0872552389203388,0.99999999974885,0.45,-0.45,0.891979025837293,0.99999999974885,0.45,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
LMBRD1,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0876015563629806,0.99999999974885,0.454,-0.454,0.901517315936963,0.99999999974885,0.454,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NRP2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.088907518331859,0.99999999974885,0.416,-0.416,0.800899173086924,0.99999999974885,0.416,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CLSPN,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0891526233637222,0.74177908160363,0.521,-0.521,0.260406564274233,0.74177908160363,0.521,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SLC7A5,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0892515404731551,0.514703233987603,0.465,-0.465,0.163151213792297,0.514703233987603,0.465,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RFC4,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0892515404731551,0.336136449867808,0.394,-0.394,0.0888964636285618,0.336136449867808,0.394,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ADCY7,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0896354061691716,0.99999999974885,0.485,-0.485,0.955310708478651,0.99999999974885,0.485,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CENPK,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0896868480210692,0.417822169876458,0.43,-0.43,0.121667713618113,0.417822169876458,0.43,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
ENHO,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0897216812264879,0.744359211461531,0.521,-0.521,0.262420906785666,0.744359211461531,0.521,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DPM3,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0897216812264879,0.365287901775106,0.407,-0.407,0.0997075153272931,0.365287901775106,0.407,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FMC1-LUC7L2,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0901264807913488,0.33610780681927,0.392,-0.392,0.0887621866105656,0.33610780681927,0.392,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
RABIF,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0901264807913488,0.435674568412956,0.436,-0.436,0.128921310967482,0.435674568412956,0.436,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
AKAP11,Dys-CIM,NKI.TNBCCL,0.3,2,2,1,NO,0.0901264807913488,0.99999999974885,0.48,-0.48,0.949240236488477,0.99999999974885,0.48,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
